                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     22,                 3.6013,                0.87682,                      1,                 7.0398,               0.007921,               0.007921,               0.007921
                     23,                 3.5386,                0.88843,                      1,                 7.0906,               0.007822,               0.007822,               0.007822
                     24,                 3.5021,                0.90929,                      1,                 6.7047,               0.007723,               0.007723,               0.007723
                     25,                 3.4811,                0.89709,                      1,                 6.9242,               0.007624,               0.007624,               0.007624
                     26,                 3.4568,                0.91106,                      1,                 6.7039,               0.007525,               0.007525,               0.007525
                     27,                 3.4255,                0.90712,                      1,                 6.6664,               0.007426,               0.007426,               0.007426
                     28,                  3.374,                0.90338,                      1,                 6.8336,               0.007327,               0.007327,               0.007327
                     29,                 3.3352,                0.91637,                      1,                 6.5492,               0.007228,               0.007228,               0.007228
                     30,                 3.3159,                0.91558,                      1,                 6.5406,               0.007129,               0.007129,               0.007129
                     31,                 3.2674,                0.92247,                      1,                 6.4414,                0.00703,                0.00703,                0.00703
                     32,                 3.2484,                0.92562,                      1,                 6.3805,               0.006931,               0.006931,               0.006931
                     33,                 3.2061,                 0.9205,                      1,                 6.3875,               0.006832,               0.006832,               0.006832
                     34,                 3.1725,                0.92995,                      1,                  6.325,               0.006733,               0.006733,               0.006733
                     35,                 3.1673,                0.92641,                      1,                 6.3453,               0.006634,               0.006634,               0.006634
                     36,                  3.123,                0.92601,                      1,                 6.2336,               0.006535,               0.006535,               0.006535
                     37,                 3.1132,                0.92778,                      1,                 6.2602,               0.006436,               0.006436,               0.006436
                     38,                 3.0721,                0.93152,                      1,                  6.207,               0.006337,               0.006337,               0.006337
                     39,                 3.0491,                0.93664,                      1,                 6.1188,               0.006238,               0.006238,               0.006238
                     40,                 3.0232,                0.94097,                      1,                 6.0781,               0.006139,               0.006139,               0.006139
                     41,                 2.9917,                  0.939,                      1,                 6.0617,                0.00604,                0.00604,                0.00604
                     42,                 2.9734,                0.94116,                      1,                 6.0453,               0.005941,               0.005941,               0.005941
                     43,                 2.9534,                0.94156,                      1,                 6.0016,               0.005842,               0.005842,               0.005842
                     44,                  2.907,                0.93959,                      1,                 5.9914,               0.005743,               0.005743,               0.005743
                     45,                 2.8945,                0.94353,                      1,                 5.9461,               0.005644,               0.005644,               0.005644
                     46,                  2.873,                0.94648,                      1,                 5.9039,               0.005545,               0.005545,               0.005545
                     47,                 2.8462,                0.94884,                      1,                 5.9281,               0.005446,               0.005446,               0.005446
                     48,                 2.8267,                0.94923,                      1,                  5.907,               0.005347,               0.005347,               0.005347
                     49,                 2.8004,                0.94667,                      1,                 5.8906,               0.005248,               0.005248,               0.005248
                     50,                 2.7884,                0.95081,                      1,                 5.8547,               0.005149,               0.005149,               0.005149
                     51,                 2.7668,                0.95356,                      1,                  5.818,                0.00505,                0.00505,                0.00505
                     52,                 2.7351,                0.95651,                      1,                 5.7719,               0.004951,               0.004951,               0.004951
                     53,                 2.7076,                0.95514,                      1,                 5.7742,               0.004852,               0.004852,               0.004852
                     54,                  2.697,                0.95553,                      1,                 5.7711,               0.004753,               0.004753,               0.004753
                     55,                 2.6597,                 0.9571,                      1,                 5.7313,               0.004654,               0.004654,               0.004654
                     56,                 2.6733,                0.95632,                      1,                 5.7188,               0.004555,               0.004555,               0.004555
                     57,                 2.6115,                0.95553,                      1,                 5.7164,               0.004456,               0.004456,               0.004456
                     58,                 2.6045,                0.95907,                      1,                  5.693,               0.004357,               0.004357,               0.004357
                     59,                 2.5843,                0.95828,                      1,                 5.6852,               0.004258,               0.004258,               0.004258
                     60,                 2.5937,                0.95966,                      1,                 5.6914,               0.004159,               0.004159,               0.004159
                     61,                 2.5564,                0.96124,                      1,                 5.6688,                0.00406,                0.00406,                0.00406
                     62,                 2.5377,                0.96242,                      1,                 5.6602,               0.003961,               0.003961,               0.003961
                     63,                 2.5002,                0.96379,                      1,                 5.6375,               0.003862,               0.003862,               0.003862
                     64,                 2.4955,                0.96478,                      1,                 5.6242,               0.003763,               0.003763,               0.003763
                     65,                 2.4717,                 0.9636,                      1,                 5.6102,               0.003664,               0.003664,               0.003664
                     66,                 2.4411,                0.96556,                      1,                 5.5938,               0.003565,               0.003565,               0.003565
                     67,                 2.4351,                0.96556,                      1,                 5.5859,               0.003466,               0.003466,               0.003466
                     68,                 2.4095,                0.96497,                      1,                 5.5828,               0.003367,               0.003367,               0.003367
                     69,                 2.3852,                0.96616,                      1,                 5.5734,               0.003268,               0.003268,               0.003268
                     70,                  2.373,                0.96596,                      1,                 5.5672,               0.003169,               0.003169,               0.003169
                     71,                  2.329,                0.96576,                      1,                 5.5625,                0.00307,                0.00307,                0.00307
                     72,                 2.3093,                0.96635,                      1,                 5.5516,               0.002971,               0.002971,               0.002971
                     73,                  2.294,                0.96655,                      1,                 5.5484,               0.002872,               0.002872,               0.002872
                     74,                 2.2737,                0.96675,                      1,                 5.5414,               0.002773,               0.002773,               0.002773
                     75,                 2.2477,                0.96773,                      1,                 5.5352,               0.002674,               0.002674,               0.002674
                     76,                 2.2475,                0.96891,                      1,                 5.5266,               0.002575,               0.002575,               0.002575
                     77,                 2.2049,                 0.9697,                      1,                 5.5203,               0.002476,               0.002476,               0.002476
                     78,                  2.177,                 0.9695,                      1,                 5.5141,               0.002377,               0.002377,               0.002377
                     79,                 2.1432,                0.97029,                      1,                 5.5055,               0.002278,               0.002278,               0.002278
                     80,                 2.1023,                0.97068,                      1,                 5.4969,               0.002179,               0.002179,               0.002179
                     81,                 2.0898,                0.97127,                      1,                 5.4898,                0.00208,                0.00208,                0.00208
                     82,                 2.0706,                0.97127,                      1,                 5.4828,               0.001981,               0.001981,               0.001981
                     83,                 2.0451,                0.97127,                      1,                 5.4773,               0.001882,               0.001882,               0.001882
                     84,                 2.0271,                0.97166,                      1,                 5.4695,               0.001783,               0.001783,               0.001783
                     85,                 1.9841,                0.97245,                      1,                 5.4648,               0.001684,               0.001684,               0.001684
                     86,                 1.9627,                0.97245,                      1,                 5.4586,               0.001585,               0.001585,               0.001585
                     87,                 1.9219,                0.97383,                      1,                 5.4523,               0.001486,               0.001486,               0.001486
                     88,                 1.8855,                0.97442,                      1,                 5.4461,               0.001387,               0.001387,               0.001387
                     89,                 1.8957,                0.97442,                      1,                 5.4422,               0.001288,               0.001288,               0.001288
                     90,                 1.8153,                0.97422,                      1,                 5.4367,               0.001189,               0.001189,               0.001189
                     91,                 1.8152,                0.97422,                      1,                 5.4352,                0.00109,                0.00109,                0.00109
                     92,                 1.7587,                0.97442,                      1,                 5.4289,               0.000991,               0.000991,               0.000991
                     93,                  1.735,                0.97403,                      1,                 5.4266,               0.000892,               0.000892,               0.000892
                     94,                 1.7055,                0.97501,                      1,                 5.4242,               0.000793,               0.000793,               0.000793
                     95,                 1.6447,                 0.9754,                      1,                 5.4195,               0.000694,               0.000694,               0.000694
                     96,                 1.6172,                 0.9754,                      1,                 5.4156,               0.000595,               0.000595,               0.000595
                     97,                  1.582,                 0.9756,                      1,                 5.4117,               0.000496,               0.000496,               0.000496
                     98,                  1.517,                0.97717,                      1,                 5.4078,               0.000397,               0.000397,               0.000397
                     99,                 1.4948,                0.97717,                      1,                 5.4047,               0.000298,               0.000298,               0.000298
